Q, E
0.000000, 91.971700
0.798780, 65.467300
1.597511, 45.084100
2.396270, 30.239500
3.195031, 20.109700
3.993831, 13.412700
4.792573, 9.002700
5.591307, 6.095800
6.390105, 4.197200
7.188846, 2.991100
7.987610, 2.272400
8.786418, 1.906200
9.585121, 1.800000
10.383852, 1.886500
11.182573, 2.109600
11.981397, 2.418200
12.780144, 2.681100
13.578961, 2.800100
14.377769, 2.891200
15.176501, 2.974300
15.975324, 3.072600
16.774077, 3.211400
17.572812, 3.412000
18.371569, 3.687300
19.170358, 4.036800